sub,ses,dir,stratum,mean_fc,skew,mean_fc_flag,skew_flag,fc_flag,temporal_flag,fd_exclude,any_internal_run_review,any_attention
sub-1001,ses-1,AP,ses-1/AP,0.06878351,0.24605091,False,False,False,False,False,False,False
sub-1001,ses-1,PA,ses-1/PA,0.1966803,-0.042680897,False,False,False,False,False,False,False
sub-1001,ses-2,AP,ses-2/AP,0.15096654,-0.0032059094,False,False,False,False,False,False,False
sub-1001,ses-2,PA,ses-2/PA,0.26922214,-0.12607749,False,False,False,False,False,False,False
sub-1002,ses-1,AP,ses-1/AP,0.26580045,-0.04732115,False,False,False,False,False,False,False
sub-1002,ses-1,PA,ses-1/PA,0.193809,-0.083464034,False,False,False,False,False,False,False
sub-1002,ses-2,AP,ses-2/AP,0.26146677,-0.16934264,False,False,False,False,False,False,False
sub-1002,ses-2,PA,ses-2/PA,0.15320568,0.13946024,False,False,False,False,False,False,False
sub-1003,ses-1,AP,ses-1/AP,0.060735296,0.2861413,False,False,False,False,False,False,False
sub-1003,ses-1,PA,ses-1/PA,0.047081206,0.31018084,False,False,False,False,False,False,False
sub-1003,ses-2,AP,ses-2/AP,0.046021175,0.2606001,False,False,False,False,False,False,False
sub-1003,ses-2,PA,ses-2/PA,0.04419321,0.28457978,False,False,False,False,False,False,False
sub-1004,ses-1,AP,ses-1/AP,0.11898039,0.026162667,False,False,False,False,False,False,False
sub-1004,ses-1,PA,ses-1/PA,0.0916998,0.092754,False,False,False,False,False,False,False
sub-1004,ses-2,AP,ses-2/AP,0.13939486,0.15862766,False,False,False,False,False,False,False
sub-1004,ses-2,PA,ses-2/PA,0.09143929,0.22423026,False,False,False,False,False,False,False
sub-1006,ses-1,AP,ses-1/AP,0.09500667,0.00059182744,False,False,False,False,False,False,False
sub-1006,ses-1,PA,ses-1/PA,0.14798707,-0.055780794,False,False,False,False,False,False,False
sub-1006,ses-2,AP,ses-2/AP,0.14366883,0.033248417,False,False,False,False,False,False,False
sub-1006,ses-2,PA,ses-2/PA,0.14104936,0.024824841,False,False,False,False,False,False,False
sub-1009,ses-1,AP,ses-1/AP,0.10365249,0.103004225,False,False,False,False,False,False,False
sub-1009,ses-1,PA,ses-1/PA,0.112918854,0.04382271,False,False,False,False,False,False,False
sub-1009,ses-2,AP,ses-2/AP,0.16303974,-0.025737137,False,False,False,False,False,False,False
sub-1009,ses-2,PA,ses-2/PA,0.13084827,0.13081263,False,False,False,False,False,False,False
sub-1010,ses-1,AP,ses-1/AP,0.06113759,0.19212475,False,False,False,False,False,False,False
